county,candidate,party,votes
ISABELLA,"Goode, Jr.",UST,104
ISABELLA,Alexander,WRITE-IN,0
ISABELLA,Anderson,NLP,26
ISABELLA,Hoefling,WRITE-IN,0
ISABELLA,Johnson,WRITE-IN,0
ISABELLA,Obama,DEM,13038
ISABELLA,Romney,REP,10800
ISABELLA,Stein,GRN,151
ISABELLA,White,WRITE-IN,0
JACKSON,"Goode, Jr.",UST,313
JACKSON,Alexander,WRITE-IN,1
JACKSON,Anderson,NLP,68
JACKSON,Hoefling,WRITE-IN,0
JACKSON,Johnson,WRITE-IN,122
JACKSON,Obama,DEM,32301
JACKSON,Romney,REP,36298
JACKSON,Stein,GRN,343
JACKSON,White,WRITE-IN,0
KALAMAZOO,"Goode, Jr.",UST,344
KALAMAZOO,Alexander,WRITE-IN,3
KALAMAZOO,Anderson,NLP,139
KALAMAZOO,Hoefling,WRITE-IN,3
KALAMAZOO,Johnson,WRITE-IN,283
KALAMAZOO,Obama,DEM,69051
KALAMAZOO,Romney,REP,52662
KALAMAZOO,Stein,GRN,692
KALAMAZOO,White,WRITE-IN,1
KALKASKA,"Goode, Jr.",UST,44
KALKASKA,Alexander,WRITE-IN,0
KALKASKA,Anderson,NLP,19
KALKASKA,Hoefling,WRITE-IN,0
KALKASKA,Johnson,WRITE-IN,9
KALKASKA,Obama,DEM,3272
KALKASKA,Romney,REP,4901
KALKASKA,Stein,GRN,54
KALKASKA,White,WRITE-IN,0
KENT,"Goode, Jr.",UST,1018
KENT,Alexander,WRITE-IN,1
KENT,Anderson,NLP,331
KENT,Hoefling,WRITE-IN,6
KENT,Johnson,WRITE-IN,616
KENT,Obama,DEM,133408
KENT,Romney,REP,155925
KENT,Stein,GRN,1677
KENT,White,WRITE-IN,3
KEWEENAW,"Goode, Jr.",UST,13
KEWEENAW,Alexander,WRITE-IN,0
KEWEENAW,Anderson,NLP,0
KEWEENAW,Hoefling,WRITE-IN,0
KEWEENAW,Johnson,WRITE-IN,4
KEWEENAW,Obama,DEM,582
KEWEENAW,Romney,REP,774
KEWEENAW,Stein,GRN,19
KEWEENAW,White,WRITE-IN,0
LAKE,"Goode, Jr.",UST,24
LAKE,Alexander,WRITE-IN,0
LAKE,Anderson,NLP,4
LAKE,Hoefling,WRITE-IN,0
LAKE,Johnson,WRITE-IN,0
LAKE,Obama,DEM,2752
LAKE,Romney,REP,2487
LAKE,Stein,GRN,20
