county,candidate,votes
Crittenden,Mitt Romney / Paul Ryan,6998
Cross,Mitt Romney / Paul Ryan,4269
Dallas,Mitt Romney / Paul Ryan,1665
Desha,Mitt Romney / Paul Ryan,1896
Drew,Mitt Romney / Paul Ryan,3887
Faulkner,Mitt Romney / Paul Ryan,26722
Franklin,Mitt Romney / Paul Ryan,4631
Fulton,Mitt Romney / Paul Ryan,2949
Garland,Mitt Romney / Paul Ryan,26014
Grant,Mitt Romney / Paul Ryan,4829
Greene,Mitt Romney / Paul Ryan,9071
Hempstead,Mitt Romney / Paul Ryan,4284
Hot Spring,Mitt Romney / Paul Ryan,7097
Howard,Mitt Romney / Paul Ryan,2892
Independence,Mitt Romney / Paul Ryan,8728
Izard,Mitt Romney / Paul Ryan,3575
Jackson,Mitt Romney / Paul Ryan,3072
Jefferson,Mitt Romney / Paul Ryan,9520
Johnson,Mitt Romney / Paul Ryan,5064
Lafayette,Mitt Romney / Paul Ryan,1713
Lawrence,Mitt Romney / Paul Ryan,3536
Lee,Mitt Romney / Paul Ryan,1280
Lincoln,Mitt Romney / Paul Ryan,2199
Little River,Mitt Romney / Paul Ryan,3385
Logan,Mitt Romney / Paul Ryan,5079
Lonoke,Mitt Romney / Paul Ryan,17880
Madison,Mitt Romney / Paul Ryan,4263
Marion,Mitt Romney / Paul Ryan,4774
Miller,Mitt Romney / Paul Ryan,10622
Mississippi,Mitt Romney / Paul Ryan,6603
Monroe,Mitt Romney / Paul Ryan,1585
Montgomery,Mitt Romney / Paul Ryan,2369
Nevada,Mitt Romney / Paul Ryan,1996
Newton,Mitt Romney / Paul Ryan,2508
Ouachita,Mitt Romney / Paul Ryan,5521
Perry,Mitt Romney / Paul Ryan,2581
Phillips,Mitt Romney / Paul Ryan,2598
Pike,Mitt Romney / Paul Ryan,2847
Poinsett,Mitt Romney / Paul Ryan,4974
Polk,Mitt Romney / Paul Ryan,5955
Pope,Mitt Romney / Paul Ryan,14763
Prairie,Mitt Romney / Paul Ryan,2153
Pulaski,Mitt Romney / Paul Ryan,68984
Randolph,Mitt Romney / Paul Ryan,3701
Saline,Mitt Romney / Paul Ryan,32963
Scott,Mitt Romney / Paul Ryan,2631
Searcy,Mitt Romney / Paul Ryan,2699
Sebastian,Mitt Romney / Paul Ryan,29169
Sevier,Mitt Romney / Paul Ryan,3136
Sharp,Mitt Romney / Paul Ryan,4921
St. Francis,Mitt Romney / Paul Ryan,3368
Stone,Mitt Romney / Paul Ryan,3776
Union,Mitt Romney / Paul Ryan,10699
Van Buren,Mitt Romney / Paul Ryan,4365
Washington,Mitt Romney / Paul Ryan,39688
White,Mitt Romney / Paul Ryan,20011
Woodruff,Mitt Romney / Paul Ryan,1227
Yell,Mitt Romney / Paul Ryan,4042
Arkansas,Barack Obama / Joe Biden,2455
Ashley,Barack Obama / Joe Biden,2859
Baxter,Barack Obama / Joe Biden,5172
Benton,Barack Obama / Joe Biden,22636
Boone,Barack Obama / Joe Biden,3772
Bradley,Barack Obama / Joe Biden,1449
Calhoun,Barack Obama / Joe Biden,660
Carroll,Barack Obama / Joe Biden,3696
Chicot,Barack Obama / Joe Biden,2649
Clark,Barack Obama / Joe Biden,3811
Clay,Barack Obama / Joe Biden,1738
Cleburne,Barack Obama / Joe Biden,2620
Cleveland,Barack Obama / Joe Biden,845
Columbia,Barack Obama / Joe Biden,3557
Conway,Barack Obama / Joe Biden,3005
