county,candidate,votes
PRINCE EDWARD COUNTY,Barack Obama,5132
PRINCE EDWARD COUNTY,Virgil Goode,52
PRINCE EDWARD COUNTY,Gary Johnson,57
PRINCE EDWARD COUNTY,Jill Stein,31
PRINCE EDWARD COUNTY,Write In,15
PRINCE GEORGE COUNTY,Mitt Romney,8879
PRINCE GEORGE COUNTY,Barack Obama,6991
PRINCE GEORGE COUNTY,Virgil Goode,44
PRINCE GEORGE COUNTY,Gary Johnson,72
PRINCE GEORGE COUNTY,Jill Stein,31
PRINCE GEORGE COUNTY,Write In,29
PRINCE WILLIAM COUNTY,Mitt Romney,74458
PRINCE WILLIAM COUNTY,Barack Obama,103331
PRINCE WILLIAM COUNTY,Virgil Goode,337
PRINCE WILLIAM COUNTY,Gary Johnson,1372
PRINCE WILLIAM COUNTY,Jill Stein,381
PRINCE WILLIAM COUNTY,Write In,316
PULASKI COUNTY,Mitt Romney,8920
PULASKI COUNTY,Barack Obama,5292
PULASKI COUNTY,Virgil Goode,242
PULASKI COUNTY,Gary Johnson,136
PULASKI COUNTY,Jill Stein,75
PULASKI COUNTY,Write In,15
RAPPAHANNOCK COUNTY,Mitt Romney,2311
RAPPAHANNOCK COUNTY,Barack Obama,1980
RAPPAHANNOCK COUNTY,Virgil Goode,11
RAPPAHANNOCK COUNTY,Gary Johnson,33
RAPPAHANNOCK COUNTY,Jill Stein,9
RAPPAHANNOCK COUNTY,Write In,13
RICHMOND COUNTY,Mitt Romney,2160
RICHMOND COUNTY,Barack Obama,1574
RICHMOND COUNTY,Virgil Goode,13
RICHMOND COUNTY,Gary Johnson,16
RICHMOND COUNTY,Jill Stein,5
RICHMOND COUNTY,Write In,2
ROANOKE COUNTY,Mitt Romney,31624
ROANOKE COUNTY,Barack Obama,18711
ROANOKE COUNTY,Virgil Goode,333
ROANOKE COUNTY,Gary Johnson,372
ROANOKE COUNTY,Jill Stein,96
ROANOKE COUNTY,Write In,81
ROCKBRIDGE COUNTY,Mitt Romney,5898
ROCKBRIDGE COUNTY,Barack Obama,4088
ROCKBRIDGE COUNTY,Virgil Goode,67
ROCKBRIDGE COUNTY,Gary Johnson,82
ROCKBRIDGE COUNTY,Jill Stein,21
ROCKBRIDGE COUNTY,Write In,21
ROCKINGHAM COUNTY,Mitt Romney,24186
ROCKINGHAM COUNTY,Barack Obama,10065
ROCKINGHAM COUNTY,Virgil Goode,127
ROCKINGHAM COUNTY,Gary Johnson,328
ROCKINGHAM COUNTY,Jill Stein,102
ROCKINGHAM COUNTY,Write In,58
RUSSELL COUNTY,Mitt Romney,8180
RUSSELL COUNTY,Barack Obama,3718
RUSSELL COUNTY,Virgil Goode,76
RUSSELL COUNTY,Gary Johnson,66
RUSSELL COUNTY,Jill Stein,29
RUSSELL COUNTY,Write In,19
SCOTT COUNTY,Mitt Romney,7439
SCOTT COUNTY,Barack Obama,2395
SCOTT COUNTY,Virgil Goode,43
SCOTT COUNTY,Gary Johnson,62
SCOTT COUNTY,Jill Stein,25
SCOTT COUNTY,Write In,28
SHENANDOAH COUNTY,Mitt Romney,12538
SHENANDOAH COUNTY,Barack Obama,6469
SHENANDOAH COUNTY,Virgil Goode,66
SHENANDOAH COUNTY,Gary Johnson,173
SHENANDOAH COUNTY,Jill Stein,62
SHENANDOAH COUNTY,Write In,65
SMYTH COUNTY,Mitt Romney,8379
SMYTH COUNTY,Barack Obama,4171
SMYTH COUNTY,Virgil Goode,77
SMYTH COUNTY,Gary Johnson,97
SMYTH COUNTY,Jill Stein,32
SMYTH COUNTY,Write In,21
