fips,county,candidate,votes
39025,Clermont,"Stein, Jill (G)",248
39025,Clermont,"Daniels, Susan (WI)",0
39025,Clermont,"Keyton, Nelson (WI)",0
39025,Clermont,"Reed, Jill (WI)",0
39025,Clermont,"Robertson, Platt (WI)",0
39025,Clermont,"Randall, Terry (WI)",2
39025,Clermont,"Vargo, Mike (WI)",0
39027,Clinton,"Alexander, Stewart (S)",13
39027,Clinton,"Duncan, Richard (I)",45
39027,Clinton,"Goode, Virgil (C)",34
39027,Clinton,"Johnson, Gary (L)",195
39027,Clinton,"Obama, Barack (D)",5791
39027,Clinton,"Romney, Mitt (R)",12009
39027,Clinton,"Stein, Jill (G)",56
39027,Clinton,"Daniels, Susan (WI)",0
39027,Clinton,"Keyton, Nelson (WI)",0
39027,Clinton,"Reed, Jill (WI)",1
39027,Clinton,"Robertson, Platt (WI)",0
39027,Clinton,"Randall, Terry (WI)",0
39027,Clinton,"Vargo, Mike (WI)",0
39029,Columbiana,"Alexander, Stewart (S)",28
39029,Columbiana,"Duncan, Richard (I)",216
39029,Columbiana,"Goode, Virgil (C)",85
39029,Columbiana,"Johnson, Gary (L)",434
39029,Columbiana,"Obama, Barack (D)",19821
39029,Columbiana,"Romney, Mitt (R)",25251
39029,Columbiana,"Stein, Jill (G)",216
39029,Columbiana,"Daniels, Susan (WI)",0
39029,Columbiana,"Keyton, Nelson (WI)",0
39029,Columbiana,"Reed, Jill (WI)",0
39029,Columbiana,"Robertson, Platt (WI)",0
39029,Columbiana,"Randall, Terry (WI)",0
39029,Columbiana,"Vargo, Mike (WI)",0
39031,Coshocton,"Alexander, Stewart (S)",19
39031,Coshocton,"Duncan, Richard (I)",93
39031,Coshocton,"Goode, Virgil (C)",44
39031,Coshocton,"Johnson, Gary (L)",157
39031,Coshocton,"Obama, Barack (D)",6940
39031,Coshocton,"Romney, Mitt (R)",8390
39031,Coshocton,"Stein, Jill (G)",96
39031,Coshocton,"Daniels, Susan (WI)",0
39031,Coshocton,"Keyton, Nelson (WI)",0
39031,Coshocton,"Reed, Jill (WI)",0
39031,Coshocton,"Robertson, Platt (WI)",0
39031,Coshocton,"Randall, Terry (WI)",0
39031,Coshocton,"Vargo, Mike (WI)",0
39033,Crawford,"Alexander, Stewart (S)",13
39033,Crawford,"Duncan, Richard (I)",82
39033,Crawford,"Goode, Virgil (C)",55
39033,Crawford,"Johnson, Gary (L)",186
39033,Crawford,"Obama, Barack (D)",7507
39033,Crawford,"Romney, Mitt (R)",11852
39033,Crawford,"Stein, Jill (G)",108
39033,Crawford,"Daniels, Susan (WI)",0
39033,Crawford,"Keyton, Nelson (WI)",0
39033,Crawford,"Reed, Jill (WI)",0
39033,Crawford,"Robertson, Platt (WI)",0
39033,Crawford,"Randall, Terry (WI)",0
39033,Crawford,"Vargo, Mike (WI)",0
39035,Cuyahoga,"Alexander, Stewart (S)",220
39035,Cuyahoga,"Duncan, Richard (I)",621
39035,Cuyahoga,"Goode, Virgil (C)",534
39035,Cuyahoga,"Johnson, Gary (L)",3448
39035,Cuyahoga,"Obama, Barack (D)",447232
39035,Cuyahoga,"Romney, Mitt (R)",190651
39035,Cuyahoga,"Stein, Jill (G)",1564
39035,Cuyahoga,"Daniels, Susan (WI)",0
39035,Cuyahoga,"Keyton, Nelson (WI)",0
39035,Cuyahoga,"Reed, Jill (WI)",7
39035,Cuyahoga,"Robertson, Platt (WI)",0
39035,Cuyahoga,"Randall, Terry (WI)",3
39035,Cuyahoga,"Vargo, Mike (WI)",1
39037,Darke,"Alexander, Stewart (S)",17
39037,Darke,"Duncan, Richard (I)",97
39037,Darke,"Goode, Virgil (C)",55
39037,Darke,"Johnson, Gary (L)",212
39037,Darke,"Obama, Barack (D)",6826
39037,Darke,"Romney, Mitt (R)",18108
39037,Darke,"Stein, Jill (G)",86
39037,Darke,"Daniels, Susan (WI)",0
39037,Darke,"Keyton, Nelson (WI)",0
39037,Darke,"Reed, Jill (WI)",0
39037,Darke,"Robertson, Platt (WI)",0
39037,Darke,"Randall, Terry (WI)",0
39037,Darke,"Vargo, Mike (WI)",0
39039,Defiance,"Alexander, Stewart (S)",12
39039,Defiance,"Duncan, Richard (I)",70
39039,Defiance,"Goode, Virgil (C)",47
39039,Defiance,"Johnson, Gary (L)",187
39039,Defiance,"Obama, Barack (D)",7732
39039,Defiance,"Romney, Mitt (R)",10176
39039,Defiance,"Stein, Jill (G)",64
39039,Defiance,"Daniels, Susan (WI)",0
39039,Defiance,"Keyton, Nelson (WI)",0
39039,Defiance,"Reed, Jill (WI)",0
39039,Defiance,"Robertson, Platt (WI)",0
39039,Defiance,"Randall, Terry (WI)",0
39039,Defiance,"Vargo, Mike (WI)",0
39041,Delaware,"Alexander, Stewart (S)",18
39041,Delaware,"Duncan, Richard (I)",111
39041,Delaware,"Goode, Virgil (C)",88
39041,Delaware,"Johnson, Gary (L)",851
39041,Delaware,"Obama, Barack (D)",37292
39041,Delaware,"Romney, Mitt (R)",60194
39041,Delaware,"Stein, Jill (G)",205
39041,Delaware,"Daniels, Susan (WI)",0
39041,Delaware,"Keyton, Nelson (WI)",0
39041,Delaware,"Reed, Jill (WI)",0
39041,Delaware,"Robertson, Platt (WI)",0
39041,Delaware,"Randall, Terry (WI)",0
39041,Delaware,"Vargo, Mike (WI)",2
39043,Erie,"Alexander, Stewart (S)",12
39043,Erie,"Duncan, Richard (I)",115
39043,Erie,"Goode, Virgil (C)",75
39043,Erie,"Johnson, Gary (L)",300
39043,Erie,"Obama, Barack (D)",21793
39043,Erie,"Romney, Mitt (R)",16952
39043,Erie,"Stein, Jill (G)",158
39043,Erie,"Daniels, Susan (WI)",0
39043,Erie,"Keyton, Nelson (WI)",0
39043,Erie,"Reed, Jill (WI)",0
39043,Erie,"Robertson, Platt (WI)",0
39043,Erie,"Randall, Terry (WI)",0
39043,Erie,"Vargo, Mike (WI)",0
39045,Fairfield,"Alexander, Stewart (S)",23
39045,Fairfield,"Duncan, Richard (I)",173
39045,Fairfield,"Goode, Virgil (C)",114
39045,Fairfield,"Johnson, Gary (L)",624
39045,Fairfield,"Obama, Barack (D)",29890
39045,Fairfield,"Romney, Mitt (R)",41034
39045,Fairfield,"Stein, Jill (G)",210
39045,Fairfield,"Daniels, Susan (WI)",0
39045,Fairfield,"Keyton, Nelson (WI)",0
39045,Fairfield,"Reed, Jill (WI)",0
39045,Fairfield,"Robertson, Platt (WI)",0
39045,Fairfield,"Randall, Terry (WI)",0
39045,Fairfield,"Vargo, Mike (WI)",0
39047,Fayette,"Alexander, Stewart (S)",4
39047,Fayette,"Duncan, Richard (I)",27
39047,Fayette,"Goode, Virgil (C)",15
39047,Fayette,"Johnson, Gary (L)",87
39047,Fayette,"Obama, Barack (D)",4249
39047,Fayette,"Romney, Mitt (R)",6620
39047,Fayette,"Stein, Jill (G)",18
39047,Fayette,"Daniels, Susan (WI)",0
39047,Fayette,"Keyton, Nelson (WI)",0
39047,Fayette,"Reed, Jill (WI)",0
39047,Fayette,"Robertson, Platt (WI)",0
39047,Fayette,"Randall, Terry (WI)",0
39047,Fayette,"Vargo, Mike (WI)",0
39049,Franklin,"Alexander, Stewart (S)",199
39049,Franklin,"Duncan, Richard (I)",697
39049,Franklin,"Goode, Virgil (C)",568
39049,Franklin,"Johnson, Gary (L)",5535
39049,Franklin,"Obama, Barack (D)",346336
39049,Franklin,"Romney, Mitt (R)",215987
39049,Franklin,"Stein, Jill (G)",1659
39049,Franklin,"Daniels, Susan (WI)",0
39049,Franklin,"Keyton, Nelson (WI)",0
39049,Franklin,"Reed, Jill (WI)",0
39049,Franklin,"Robertson, Platt (WI)",0
39049,Franklin,"Randall, Terry (WI)",1
39049,Franklin,"Vargo, Mike (WI)",1
39051,Fulton,"Alexander, Stewart (S)",9
39051,Fulton,"Duncan, Richard (I)",61
39051,Fulton,"Goode, Virgil (C)",57
39051,Fulton,"Johnson, Gary (L)",248
39051,Fulton,"Obama, Barack (D)",9073
39051,Fulton,"Romney, Mitt (R)",11738
39051,Fulton,"Stein, Jill (G)",82
39051,Fulton,"Daniels, Susan (WI)",0
39051,Fulton,"Keyton, Nelson (WI)",0
39051,Fulton,"Reed, Jill (WI)",0
39051,Fulton,"Robertson, Platt (WI)",0
39051,Fulton,"Randall, Terry (WI)",0
39051,Fulton,"Vargo, Mike (WI)",0
39053,Gallia,"Alexander, Stewart (S)",11
39053,Gallia,"Duncan, Richard (I)",82
39053,Gallia,"Goode, Virgil (C)",47
