county,candidate,votes
Morehouse,"Jack Fellure, Toby Davis Prohibition",7
Morehouse,"Peta Lindsay, Yari Osorio Socialism and Liberation",8
Morehouse,"Jerry White, Phyllis Scherrer Socialist Equality",2
Morehouse,"James Harris, Alyson Kennedy Socialist Workers",3
Morehouse,"Sheila Tittle, Matthew Turner We The People",9
Natchitoches,"Barack Obama, Joe Biden Democratic",7942
Natchitoches,"Jill Stein, Cheri Honkala Green",44
Natchitoches,"Gary Johnson, James P. Gray Libertarian",135
Natchitoches,"Mitt Romney, Paul Ryan Republican",9077
Natchitoches,"Virgil Goode, James Clymer Constitution",21
Natchitoches,"Ross Anderson, Luis Rodriguez Justice",7
Natchitoches,"Jack Fellure, Toby Davis Prohibition",1
Natchitoches,"Peta Lindsay, Yari Osorio Socialism and Liberation",6
Natchitoches,"Jerry White, Phyllis Scherrer Socialist Equality",5
Natchitoches,"James Harris, Alyson Kennedy Socialist Workers",4
Natchitoches,"Sheila Tittle, Matthew Turner We The People",16
Orleans,"Barack Obama, Joe Biden Democratic",126722
Orleans,"Jill Stein, Cheri Honkala Green",830
Orleans,"Gary Johnson, James P. Gray Libertarian",1859
Orleans,"Mitt Romney, Paul Ryan Republican",28003
Orleans,"Virgil Goode, James Clymer Constitution",110
Orleans,"Ross Anderson, Luis Rodriguez Justice",116
Orleans,"Jack Fellure, Toby Davis Prohibition",27
Orleans,"Peta Lindsay, Yari Osorio Socialism and Liberation",30
Orleans,"Jerry White, Phyllis Scherrer Socialist Equality",21
Orleans,"James Harris, Alyson Kennedy Socialist Workers",38
Orleans,"Sheila Tittle, Matthew Turner We The People",57
Ouachita,"Barack Obama, Joe Biden Democratic",26645
Ouachita,"Jill Stein, Cheri Honkala Green",155
Ouachita,"Gary Johnson, James P. Gray Libertarian",526
Ouachita,"Mitt Romney, Paul Ryan Republican",40948
Ouachita,"Virgil Goode, James Clymer Constitution",103
Ouachita,"Ross Anderson, Luis Rodriguez Justice",27
Ouachita,"Jack Fellure, Toby Davis Prohibition",9
