county,candidate,votes
HAWKINS,"Ross C. ""Rocky"" Anderson",25
HAWKINS,Gary Johnson,148
HAWKINS,Merlin Miller,24
HAYWOOD,Mitt Romney,2960
HAYWOOD,Barack Obama,4569
HAYWOOD,Virgil Goode,12
HAYWOOD,Jill Stein,7
HAYWOOD,"Ross C. ""Rocky"" Anderson",6
HAYWOOD,Gary Johnson,14
HAYWOOD,Merlin Miller,1
HENDERSON,Mitt Romney,7421
HENDERSON,Barack Obama,2517
HENDERSON,Virgil Goode,28
HENDERSON,Jill Stein,19
HENDERSON,"Ross C. ""Rocky"" Anderson",11
HENDERSON,Gary Johnson,48
HENDERSON,Merlin Miller,11
HENRY,Mitt Romney,8193
HENRY,Barack Obama,4339
HENRY,Virgil Goode,70
HENRY,Jill Stein,37
HENRY,"Ross C. ""Rocky"" Anderson",19
HENRY,Gary Johnson,74
HENRY,Merlin Miller,7
HICKMAN,Mitt Romney,4758
HICKMAN,Barack Obama,2698
HICKMAN,Virgil Goode,51
HICKMAN,Jill Stein,25
HICKMAN,"Ross C. ""Rocky"" Anderson",9
HICKMAN,Gary Johnson,54
HICKMAN,Merlin Miller,7
HOUSTON,Mitt Romney,1579
HOUSTON,Barack Obama,1400
HOUSTON,Virgil Goode,12
HOUSTON,Jill Stein,7
HOUSTON,"Ross C. ""Rocky"" Anderson",8
HOUSTON,Gary Johnson,17
HOUSTON,Merlin Miller,4
HUMPHREYS,Mitt Romney,3833
HUMPHREYS,Barack Obama,2905
HUMPHREYS,Virgil Goode,19
HUMPHREYS,Jill Stein,27
HUMPHREYS,"Ross C. ""Rocky"" Anderson",11
HUMPHREYS,Gary Johnson,56
HUMPHREYS,Merlin Miller,12
JACKSON,Mitt Romney,2383
JACKSON,Barack Obama,1739
JACKSON,Virgil Goode,17
JACKSON,Jill Stein,15
JACKSON,"Ross C. ""Rocky"" Anderson",1
JACKSON,Gary Johnson,27
JACKSON,Merlin Miller,2
JEFFERSON,Mitt Romney,13038
JEFFERSON,Barack Obama,4232
JEFFERSON,Virgil Goode,61
JEFFERSON,Jill Stein,45
JEFFERSON,"Ross C. ""Rocky"" Anderson",23
JEFFERSON,Gary Johnson,149
JEFFERSON,Merlin Miller,11
JOHNSON,Mitt Romney,4611
JOHNSON,Barack Obama,1483
JOHNSON,Virgil Goode,31
JOHNSON,Jill Stein,20
JOHNSON,"Ross C. ""Rocky"" Anderson",3
JOHNSON,Gary Johnson,39
JOHNSON,Merlin Miller,7
KNOX,Mitt Romney,109707
KNOX,Barack Obama,59399
KNOX,Virgil Goode,464
KNOX,Jill Stein,656
KNOX,"Ross C. ""Rocky"" Anderson",175
KNOX,Gary Johnson,1989
KNOX,Merlin Miller,117
LAKE,Mitt Romney,1163
LAKE,Barack Obama,884
LAKE,Virgil Goode,12
LAKE,Jill Stein,3
LAKE,"Ross C. ""Rocky"" Anderson",9
LAKE,Gary Johnson,11
LAKE,Merlin Miller,5
LAUDERDALE,Mitt Romney,4616
LAUDERDALE,Barack Obama,4011
LAUDERDALE,Virgil Goode,16
LAUDERDALE,Jill Stein,12
LAUDERDALE,"Ross C. ""Rocky"" Anderson",8
LAUDERDALE,Gary Johnson,19
LAUDERDALE,Merlin Miller,7
LAWRENCE,Mitt Romney,10770
LAWRENCE,Barack Obama,4237
LAWRENCE,Virgil Goode,83
LAWRENCE,Jill Stein,29
LAWRENCE,"Ross C. ""Rocky"" Anderson",21
LAWRENCE,Gary Johnson,64
LAWRENCE,Merlin Miller,15
LEWIS,Mitt Romney,3117
LEWIS,Barack Obama,1447
LEWIS,Virgil Goode,11
LEWIS,Jill Stein,41
LEWIS,"Ross C. ""Rocky"" Anderson",13
LEWIS,Gary Johnson,57
LEWIS,Merlin Miller,8
LINCOLN,Mitt Romney,9803
LINCOLN,Barack Obama,3290
LINCOLN,Virgil Goode,36
LINCOLN,Jill Stein,24
LINCOLN,"Ross C. ""Rocky"" Anderson",22
LINCOLN,Gary Johnson,73
LINCOLN,Merlin Miller,20
LOUDON,Mitt Romney,16707
LOUDON,Barack Obama,5058
LOUDON,Virgil Goode,46
LOUDON,Jill Stein,33
LOUDON,"Ross C. ""Rocky"" Anderson",28
LOUDON,Gary Johnson,181
LOUDON,Merlin Miller,20
MACON,Mitt Romney,5260
MACON,Barack Obama,1552
MACON,Virgil Goode,34
MACON,Jill Stein,18
MACON,"Ross C. ""Rocky"" Anderson",2
MACON,Gary Johnson,32
MACON,Merlin Miller,7
MADISON,Mitt Romney,21993
MADISON,Barack Obama,18367
MADISON,Virgil Goode,55
MADISON,Jill Stein,47
MADISON,"Ross C. ""Rocky"" Anderson",32
MADISON,Gary Johnson,191
MADISON,Merlin Miller,17
MARION,Mitt Romney,6272
MARION,Barack Obama,3953
MARION,Virgil Goode,39
MARION,Jill Stein,33
MARION,"Ross C. ""Rocky"" Anderson",23
MARION,Gary Johnson,77
MARION,Merlin Miller,12
MARSHALL,Mitt Romney,6832
MARSHALL,Barack Obama,3725
MARSHALL,Virgil Goode,55
MARSHALL,Jill Stein,36
MARSHALL,"Ross C. ""Rocky"" Anderson",23
MARSHALL,Gary Johnson,64
MARSHALL,Merlin Miller,6
MAURY,Mitt Romney,20708
MAURY,Barack Obama,11825
MAURY,Virgil Goode,92
MAURY,Jill Stein,76
MAURY,"Ross C. ""Rocky"" Anderson",50
MAURY,Gary Johnson,212
MAURY,Merlin Miller,43
MCMINN,Mitt Romney,12967
MCMINN,Barack Obama,4609
MCMINN,Virgil Goode,60
MCMINN,Jill Stein,27
MCMINN,"Ross C. ""Rocky"" Anderson",23
MCMINN,Gary Johnson,135
MCMINN,Merlin Miller,13
MCNAIRY,Mitt Romney,7015
MCNAIRY,Barack Obama,2645
MCNAIRY,Virgil Goode,29
MCNAIRY,Jill Stein,24
MCNAIRY,"Ross C. ""Rocky"" Anderson",15
MCNAIRY,Gary Johnson,58
MCNAIRY,Merlin Miller,16
MEIGS,Mitt Romney,2734
MEIGS,Barack Obama,1163
MEIGS,Virgil Goode,17
MEIGS,Jill Stein,16
MEIGS,"Ross C. ""Rocky"" Anderson",3
MEIGS,Gary Johnson,26
MEIGS,Merlin Miller,5
MONROE,Mitt Romney,11731
MONROE,Barack Obama,4372
MONROE,Virgil Goode,54
MONROE,Jill Stein,41
MONROE,"Ross C. ""Rocky"" Anderson",24
MONROE,Gary Johnson,101
MONROE,Merlin Miller,15
MONTGOMERY,Mitt Romney,30245
MONTGOMERY,Barack Obama,24499
MONTGOMERY,Virgil Goode,135
MONTGOMERY,Jill Stein,149
MONTGOMERY,"Ross C. ""Rocky"" Anderson",56
MONTGOMERY,Gary Johnson,466
MONTGOMERY,Merlin Miller,34
MOORE,Mitt Romney,2053
MOORE,Barack Obama,705
MOORE,Virgil Goode,11
MOORE,Jill Stein,5
MOORE,"Ross C. ""Rocky"" Anderson",1
MOORE,Gary Johnson,19
MOORE,Merlin Miller,5
MORGAN,Mitt Romney,4669
MORGAN,Barack Obama,1725
MORGAN,Virgil Goode,28
MORGAN,Jill Stein,16
MORGAN,"Ross C. ""Rocky"" Anderson",10
MORGAN,Gary Johnson,45
MORGAN,Merlin Miller,11
OBION,Mitt Romney,8814
OBION,Barack Obama,3321
OBION,Virgil Goode,33
OBION,Jill Stein,26
OBION,"Ross C. ""Rocky"" Anderson",19
OBION,Gary Johnson,68
OBION,Merlin Miller,16
OVERTON,Mitt Romney,4775
OVERTON,Barack Obama,2805
OVERTON,Virgil Goode,21
OVERTON,Jill Stein,19
OVERTON,"Ross C. ""Rocky"" Anderson",8
OVERTON,Gary Johnson,30
OVERTON,Merlin Miller,6
PERRY,Mitt Romney,1578
PERRY,Barack Obama,992
PERRY,Virgil Goode,11
PERRY,Jill Stein,5
PERRY,"Ross C. ""Rocky"" Anderson",10
PERRY,Gary Johnson,22
PERRY,Merlin Miller,3
PICKETT,Mitt Romney,1712
PICKETT,Barack Obama,712
PICKETT,Virgil Goode,2
PICKETT,Jill Stein,7
PICKETT,"Ross C. ""Rocky"" Anderson",5
PICKETT,Gary Johnson,13
PICKETT,Merlin Miller,2
POLK,Mitt Romney,4108
POLK,Barack Obama,1856
POLK,Virgil Goode,19
POLK,Jill Stein,12
POLK,"Ross C. ""Rocky"" Anderson",13
POLK,Gary Johnson,44
POLK,Merlin Miller,7
PUTNAM,Mitt Romney,17254
PUTNAM,Barack Obama,7802
PUTNAM,Virgil Goode,79
PUTNAM,Jill Stein,95
PUTNAM,"Ross C. ""Rocky"" Anderson",43
PUTNAM,Gary Johnson,211
PUTNAM,Merlin Miller,16
RHEA,Mitt Romney,7802
RHEA,Barack Obama,2628
RHEA,Virgil Goode,50
RHEA,Jill Stein,17
RHEA,"Ross C. ""Rocky"" Anderson",13
RHEA,Gary Johnson,74
RHEA,Merlin Miller,6
ROANE,Mitt Romney,14724
ROANE,Barack Obama,6018
ROANE,Virgil Goode,72
ROANE,Jill Stein,50
ROANE,"Ross C. ""Rocky"" Anderson",30
ROANE,Gary Johnson,172
ROANE,Merlin Miller,24
ROBERTSON,Mitt Romney,17643
ROBERTSON,Barack Obama,8290
ROBERTSON,Virgil Goode,66
ROBERTSON,Jill Stein,57
ROBERTSON,"Ross C. ""Rocky"" Anderson",30
ROBERTSON,Gary Johnson,184
ROBERTSON,Merlin Miller,19
RUTHERFORD,Mitt Romney,60846
RUTHERFORD,Barack Obama,36414
RUTHERFORD,Virgil Goode,210
RUTHERFORD,Jill Stein,298
RUTHERFORD,"Ross C. ""Rocky"" Anderson",83
RUTHERFORD,Gary Johnson,946
RUTHERFORD,Merlin Miller,51
SCOTT,Mitt Romney,5117
SCOTT,Barack Obama,1452
SCOTT,Virgil Goode,31
SCOTT,Jill Stein,19
SCOTT,"Ross C. ""Rocky"" Anderson",9
SCOTT,Gary Johnson,38
SCOTT,Merlin Miller,2
SEQUATCHIE,Mitt Romney,3541
SEQUATCHIE,Barack Obama,1489
SEQUATCHIE,Virgil Goode,23
SEQUATCHIE,Jill Stein,9
SEQUATCHIE,"Ross C. ""Rocky"" Anderson",7
SEQUATCHIE,Gary Johnson,68
SEQUATCHIE,Merlin Miller,5
SEVIER,Mitt Romney,25984
SEVIER,Barack Obama,7418
SEVIER,Virgil Goode,73
SEVIER,Jill Stein,89
SEVIER,"Ross C. ""Rocky"" Anderson",39
SEVIER,Gary Johnson,213
SEVIER,Merlin Miller,48
SHELBY,Mitt Romney,135649
SHELBY,Barack Obama,232443
SHELBY,Virgil Goode,411
SHELBY,Jill Stein,679
SHELBY,"Ross C. ""Rocky"" Anderson",252
SHELBY,Gary Johnson,1537
SHELBY,Merlin Miller,138
SMITH,Mitt Romney,4495
SMITH,Barack Obama,2470
SMITH,Virgil Goode,40
SMITH,Jill Stein,20
SMITH,"Ross C. ""Rocky"" Anderson",14
SMITH,Gary Johnson,37
SMITH,Merlin Miller,11
STEWART,Mitt Romney,2963
STEWART,Barack Obama,2069
STEWART,Virgil Goode,23
STEWART,Jill Stein,23
STEWART,"Ross C. ""Rocky"" Anderson",6
STEWART,Gary Johnson,29
STEWART,Merlin Miller,2
SULLIVAN,Mitt Romney,43562
SULLIVAN,Barack Obama,15321
SULLIVAN,Virgil Goode,192
SULLIVAN,Jill Stein,115
SULLIVAN,"Ross C. ""Rocky"" Anderson",70
SULLIVAN,Gary Johnson,590
SULLIVAN,Merlin Miller,37
SUMNER,Mitt Romney,46003
SUMNER,Barack Obama,18579
SUMNER,Virgil Goode,125
SUMNER,Jill Stein,153
SUMNER,"Ross C. ""Rocky"" Anderson",48
SUMNER,Gary Johnson,419
SUMNER,Merlin Miller,39
TIPTON,Mitt Romney,16672
TIPTON,Barack Obama,7133
TIPTON,Virgil Goode,59
TIPTON,Jill Stein,34
