county,candidate,votes
Sheridan,Mitt Romney,2021
Sheridan,Barack Obama,390
Sheridan,Gary Johnson,44
Sheridan,Randall A. Terry,7
Sheridan,Scattering,10
Sherman,Mitt Romney,927
Sherman,Barack Obama,552
Sherman,Gary Johnson,29
Sherman,Randall A. Terry,12
Sherman,Scattering,10
Sioux,Mitt Romney,624
Sioux,Barack Obama,101
Sioux,Gary Johnson,10
Sioux,Randall A. Terry,1
Sioux,Scattering,3
Stanton,Mitt Romney,1949
Stanton,Barack Obama,614
Stanton,Gary Johnson,49
Stanton,Randall A. Terry,22
Stanton,Scattering,10
Thayer,Mitt Romney,1874
Thayer,Barack Obama,728
Thayer,Gary Johnson,41
Thayer,Randall A. Terry,9
Thayer,Scattering,7
Thomas,Mitt Romney,360
Thomas,Barack Obama,42
Thomas,Gary Johnson,1
Thomas,Randall A. Terry,5
Thurston,Mitt Romney,939
Thurston,Barack Obama,1247
Thurston,Gary Johnson,20
Thurston,Randall A. Terry,1
Thurston,Scattering,8
Valley,Mitt Romney,1657
Valley,Barack Obama,498
Valley,Gary Johnson,25
Valley,Randall A. Terry,7
Valley,Scattering,8
Washington,Mitt Romney,6899
Washington,Barack Obama,3132
Washington,Gary Johnson,136
Washington,Randall A. Terry,26
Washington,Scattering,53
Wayne,Mitt Romney,2493
Wayne,Barack Obama,1074
Wayne,Gary Johnson,73
Wayne,Randall A. Terry,19
Wayne,Scattering,23
Webster,Mitt Romney,1258
Webster,Barack Obama,442
Webster,Gary Johnson,31
Webster,Randall A. Terry,6
Webster,Scattering,5
Wheeler,Mitt Romney,345
Wheeler,Barack Obama,93
Wheeler,Gary Johnson,8
Wheeler,Scattering,2
York,Mitt Romney,4874
York,Barack Obama,1373
York,Gary Johnson,61
York,Randall A. Terry,20
York,Scattering,27
