county,candidate,votes
DUNN,JERRY WHITE/PHYLLIS SCHERRER,5
DUNN,JILL STEIN/BEN MANSKI,69
DUNN,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),2
DUNN,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),0
DUNN,SCATTERING,50
EAU CLAIRE,MITT ROMNEY/PAUL RYAN,23256
EAU CLAIRE,BARACK OBAMA/JOE BIDEN,30666
EAU CLAIRE,VIRGIL GOODE/JIM CLYMER,75
EAU CLAIRE,GARY JOHNSON/JAMES P. GRAY,494
EAU CLAIRE,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",9
EAU CLAIRE,JERRY WHITE/PHYLLIS SCHERRER,6
EAU CLAIRE,JILL STEIN/BEN MANSKI,176
EAU CLAIRE,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),1
EAU CLAIRE,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),0
EAU CLAIRE,SCATTERING,123
FLORENCE,MITT ROMNEY/PAUL RYAN,1645
FLORENCE,BARACK OBAMA/JOE BIDEN,953
FLORENCE,VIRGIL GOODE/JIM CLYMER,6
FLORENCE,GARY JOHNSON/JAMES P. GRAY,12
FLORENCE,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",0
FLORENCE,JERRY WHITE/PHYLLIS SCHERRER,1
FLORENCE,JILL STEIN/BEN MANSKI,1
FLORENCE,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),0
FLORENCE,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),0
FLORENCE,SCATTERING,7
FOND DU LAC,MITT ROMNEY/PAUL RYAN,30355
FOND DU LAC,BARACK OBAMA/JOE BIDEN,22379
FOND DU LAC,VIRGIL GOODE/JIM CLYMER,115
FOND DU LAC,GARY JOHNSON/JAMES P. GRAY,351
FOND DU LAC,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",5
FOND DU LAC,JERRY WHITE/PHYLLIS SCHERRER,8
FOND DU LAC,JILL STEIN/BEN MANSKI,111
FOND DU LAC,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),2
FOND DU LAC,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),4
FOND DU LAC,SCATTERING,72
FOREST,MITT ROMNEY/PAUL RYAN,2172
FOREST,BARACK OBAMA/JOE BIDEN,2425
FOREST,VIRGIL GOODE/JIM CLYMER,11
FOREST,GARY JOHNSON/JAMES P. GRAY,23
FOREST,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",0
FOREST,JERRY WHITE/PHYLLIS SCHERRER,4
FOREST,JILL STEIN/BEN MANSKI,6
FOREST,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),0
FOREST,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),0
FOREST,SCATTERING,7
GRANT,MITT ROMNEY/PAUL RYAN,10255
GRANT,BARACK OBAMA/JOE BIDEN,13594
GRANT,VIRGIL GOODE/JIM CLYMER,62
GRANT,GARY JOHNSON/JAMES P. GRAY,201
GRANT,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",9
GRANT,JERRY WHITE/PHYLLIS SCHERRER,5
GRANT,JILL STEIN/BEN MANSKI,56
GRANT,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),1
GRANT,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),0
GRANT,SCATTERING,65
GREEN,MITT ROMNEY/PAUL RYAN,7857
GREEN,BARACK OBAMA/JOE BIDEN,11206
GREEN,VIRGIL GOODE/JIM CLYMER,29
GREEN,GARY JOHNSON/JAMES P. GRAY,142
GREEN,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",2
GREEN,JERRY WHITE/PHYLLIS SCHERRER,3
GREEN,JILL STEIN/BEN MANSKI,44
GREEN,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),0
GREEN,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),0
GREEN,SCATTERING,39
GREEN LAKE,MITT ROMNEY/PAUL RYAN,5782
GREEN LAKE,BARACK OBAMA/JOE BIDEN,3793
GREEN LAKE,VIRGIL GOODE/JIM CLYMER,22
GREEN LAKE,GARY JOHNSON/JAMES P. GRAY,43
GREEN LAKE,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",4
GREEN LAKE,JERRY WHITE/PHYLLIS SCHERRER,0
GREEN LAKE,JILL STEIN/BEN MANSKI,19
GREEN LAKE,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),0
GREEN LAKE,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),1
GREEN LAKE,SCATTERING,11
IOWA,MITT ROMNEY/PAUL RYAN,4287
IOWA,BARACK OBAMA/JOE BIDEN,8105
IOWA,VIRGIL GOODE/JIM CLYMER,13
IOWA,GARY JOHNSON/JAMES P. GRAY,78
IOWA,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",0
