county,candidate,votes
Chisago,JIM CARLSON AND GEORGE MCMAHON,40
Chisago,PETA LINDSAY AND YARI OSORIO,5
Chisago,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",21
Chisago,WRITE-IN**,110
Clay,MITT ROMNEY AND PAUL RYAN,12920
Clay,BARACK OBAMA AND JOE BIDEN,15208
Clay,GARY JOHNSON AND JIM GRAY,384
Clay,JAMES HARRIS AND MAURA DELUCA,15
Clay,VIRGIL GOODE AND JIM CLYMER,38
Clay,DEAN MORSTAD AND JOSH FRANKE-HYLAND,9
Clay,JILL STEIN AND CHERI HONKALA,134
Clay,JIM CARLSON AND GEORGE MCMAHON,28
Clay,PETA LINDSAY AND YARI OSORIO,3
Clay,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",30
Clay,WRITE-IN**,117
Clearwater,MITT ROMNEY AND PAUL RYAN,2359
Clearwater,BARACK OBAMA AND JOE BIDEN,1753
Clearwater,GARY JOHNSON AND JIM GRAY,36
Clearwater,JAMES HARRIS AND MAURA DELUCA,2
Clearwater,VIRGIL GOODE AND JIM CLYMER,6
Clearwater,DEAN MORSTAD AND JOSH FRANKE-HYLAND,3
Clearwater,JILL STEIN AND CHERI HONKALA,13
Clearwater,JIM CARLSON AND GEORGE MCMAHON,6
Clearwater,PETA LINDSAY AND YARI OSORIO,1
Clearwater,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",4
Clearwater,WRITE-IN**,14
Cook,MITT ROMNEY AND PAUL RYAN,1221
Cook,BARACK OBAMA AND JOE BIDEN,1993
Cook,GARY JOHNSON AND JIM GRAY,46
Cook,JAMES HARRIS AND MAURA DELUCA,0
Cook,VIRGIL GOODE AND JIM CLYMER,10
Cook,DEAN MORSTAD AND JOSH FRANKE-HYLAND,4
Cook,JILL STEIN AND CHERI HONKALA,26
Cook,JIM CARLSON AND GEORGE MCMAHON,2
Cook,PETA LINDSAY AND YARI OSORIO,0
Cook,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",2
Cook,WRITE-IN**,18
Cottonwood,MITT ROMNEY AND PAUL RYAN,3316
Cottonwood,BARACK OBAMA AND JOE BIDEN,2433
Cottonwood,GARY JOHNSON AND JIM GRAY,51
Cottonwood,JAMES HARRIS AND MAURA DELUCA,4
Cottonwood,VIRGIL GOODE AND JIM CLYMER,15
Cottonwood,DEAN MORSTAD AND JOSH FRANKE-HYLAND,2
Cottonwood,JILL STEIN AND CHERI HONKALA,15
Cottonwood,JIM CARLSON AND GEORGE MCMAHON,7
Cottonwood,PETA LINDSAY AND YARI OSORIO,3
Cottonwood,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",2
Cottonwood,WRITE-IN**,14
Crow Wing,MITT ROMNEY AND PAUL RYAN,19415
Crow Wing,BARACK OBAMA AND JOE BIDEN,14760
Crow Wing,GARY JOHNSON AND JIM GRAY,337
Crow Wing,JAMES HARRIS AND MAURA DELUCA,8
Crow Wing,VIRGIL GOODE AND JIM CLYMER,62
Crow Wing,DEAN MORSTAD AND JOSH FRANKE-HYLAND,11
Crow Wing,JILL STEIN AND CHERI HONKALA,133
Crow Wing,JIM CARLSON AND GEORGE MCMAHON,45
Crow Wing,PETA LINDSAY AND YARI OSORIO,7
Crow Wing,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",22
Crow Wing,WRITE-IN**,120
Dakota,MITT ROMNEY AND PAUL RYAN,109516
Dakota,BARACK OBAMA AND JOE BIDEN,116255
Dakota,GARY JOHNSON AND JIM GRAY,2746
Dakota,JAMES HARRIS AND MAURA DELUCA,52
Dakota,VIRGIL GOODE AND JIM CLYMER,260
Dakota,DEAN MORSTAD AND JOSH FRANKE-HYLAND,67
Dakota,JILL STEIN AND CHERI HONKALA,804
Dakota,JIM CARLSON AND GEORGE MCMAHON,186
Dakota,PETA LINDSAY AND YARI OSORIO,17
Dakota,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",125
Dakota,WRITE-IN**,793
Dodge,MITT ROMNEY AND PAUL RYAN,5522
Dodge,BARACK OBAMA AND JOE BIDEN,4487
Dodge,GARY JOHNSON AND JIM GRAY,158
Dodge,JAMES HARRIS AND MAURA DELUCA,4
Dodge,VIRGIL GOODE AND JIM CLYMER,28
Dodge,DEAN MORSTAD AND JOSH FRANKE-HYLAND,9
Dodge,JILL STEIN AND CHERI HONKALA,44
Dodge,JIM CARLSON AND GEORGE MCMAHON,11
Dodge,PETA LINDSAY AND YARI OSORIO,1
Dodge,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",10
Dodge,WRITE-IN**,53
Douglas,MITT ROMNEY AND PAUL RYAN,11884
Douglas,BARACK OBAMA AND JOE BIDEN,8653
Douglas,GARY JOHNSON AND JIM GRAY,184
Douglas,JAMES HARRIS AND MAURA DELUCA,5
Douglas,VIRGIL GOODE AND JIM CLYMER,35
Douglas,DEAN MORSTAD AND JOSH FRANKE-HYLAND,11
Douglas,JILL STEIN AND CHERI HONKALA,66
Douglas,JIM CARLSON AND GEORGE MCMAHON,28
Douglas,PETA LINDSAY AND YARI OSORIO,4
Douglas,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",14
Douglas,WRITE-IN**,69
Faribault,MITT ROMNEY AND PAUL RYAN,4104
Faribault,BARACK OBAMA AND JOE BIDEN,3407
Faribault,GARY JOHNSON AND JIM GRAY,98
Faribault,JAMES HARRIS AND MAURA DELUCA,5
Faribault,VIRGIL GOODE AND JIM CLYMER,14
Faribault,DEAN MORSTAD AND JOSH FRANKE-HYLAND,7
Faribault,JILL STEIN AND CHERI HONKALA,36
Faribault,JIM CARLSON AND GEORGE MCMAHON,13
Faribault,PETA LINDSAY AND YARI OSORIO,0
Faribault,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",5
Faribault,WRITE-IN**,24
Fillmore,MITT ROMNEY AND PAUL RYAN,4913
Fillmore,BARACK OBAMA AND JOE BIDEN,5713
Fillmore,GARY JOHNSON AND JIM GRAY,143
Fillmore,JAMES HARRIS AND MAURA DELUCA,2
Fillmore,VIRGIL GOODE AND JIM CLYMER,17
Fillmore,DEAN MORSTAD AND JOSH FRANKE-HYLAND,1
Fillmore,JILL STEIN AND CHERI HONKALA,33
Fillmore,JIM CARLSON AND GEORGE MCMAHON,18
Fillmore,PETA LINDSAY AND YARI OSORIO,4
Fillmore,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",10
Fillmore,WRITE-IN**,38
Freeborn,MITT ROMNEY AND PAUL RYAN,6969
Freeborn,BARACK OBAMA AND JOE BIDEN,9326
Freeborn,GARY JOHNSON AND JIM GRAY,197
Freeborn,JAMES HARRIS AND MAURA DELUCA,8
Freeborn,VIRGIL GOODE AND JIM CLYMER,24
Freeborn,DEAN MORSTAD AND JOSH FRANKE-HYLAND,11
Freeborn,JILL STEIN AND CHERI HONKALA,64
