county,candidate,votes
Grundy,Virgil Goode/James Clymer,18
Grundy,Jill Stein/Cheri Honkala,10
Grundy,Gary Johnson/James P. Gray,33
Grundy,Gloria LaRiva/Stefanie Beacham,1
Grundy,James Harris/Alyson Kennedy,6
Grundy,Jerry Litzel/Jim Litzel,3
Grundy,Write-In,41
Guthrie,Mitt Romney/Paul Ryan,3171
Guthrie,Barack Obama/Joe Biden,2569
Guthrie,Virgil Goode/James Clymer,12
Guthrie,Jill Stein/Cheri Honkala,15
Guthrie,Gary Johnson/James P. Gray,74
Guthrie,Gloria LaRiva/Stefanie Beacham,0
Guthrie,James Harris/Alyson Kennedy,5
Guthrie,Jerry Litzel/Jim Litzel,9
Guthrie,Write-In,33
Hamilton,Mitt Romney/Paul Ryan,3991
Hamilton,Barack Obama/Joe Biden,3782
Hamilton,Virgil Goode/James Clymer,29
Hamilton,Jill Stein/Cheri Honkala,19
Hamilton,Gary Johnson/James P. Gray,54
Hamilton,Gloria LaRiva/Stefanie Beacham,0
Hamilton,James Harris/Alyson Kennedy,0
Hamilton,Jerry Litzel/Jim Litzel,9
Hamilton,Write-In,43
Hancock,Mitt Romney/Paul Ryan,3317
Hancock,Barack Obama/Joe Biden,2521
Hancock,Virgil Goode/James Clymer,10
Hancock,Jill Stein/Cheri Honkala,16
Hancock,Gary Johnson/James P. Gray,39
Hancock,Gloria LaRiva/Stefanie Beacham,2
Hancock,James Harris/Alyson Kennedy,1
Hancock,Jerry Litzel/Jim Litzel,2
Hancock,Write-In,17
Hardin,Mitt Romney/Paul Ryan,4670
Hardin,Barack Obama/Joe Biden,4075
Hardin,Virgil Goode/James Clymer,24
Hardin,Jill Stein/Cheri Honkala,17
Hardin,Gary Johnson/James P. Gray,53
Hardin,Gloria LaRiva/Stefanie Beacham,0
Hardin,James Harris/Alyson Kennedy,5
Hardin,Jerry Litzel/Jim Litzel,8
Hardin,Write-In,46
Harrison,Mitt Romney/Paul Ryan,4065
Harrison,Barack Obama/Joe Biden,3136
Harrison,Virgil Goode/James Clymer,15
Harrison,Jill Stein/Cheri Honkala,15
Harrison,Gary Johnson/James P. Gray,52
Harrison,Gloria LaRiva/Stefanie Beacham,2
Harrison,James Harris/Alyson Kennedy,3
Harrison,Jerry Litzel/Jim Litzel,5
Harrison,Write-In,29
Henry,Mitt Romney/Paul Ryan,5035
Henry,Barack Obama/Joe Biden,4460
Henry,Virgil Goode/James Clymer,25
Henry,Jill Stein/Cheri Honkala,27
Henry,Gary Johnson/James P. Gray,66
Henry,Gloria LaRiva/Stefanie Beacham,3
Henry,James Harris/Alyson Kennedy,4
Henry,Jerry Litzel/Jim Litzel,12
Henry,Write-In,65
Howard,Mitt Romney/Paul Ryan,1795
Howard,Barack Obama/Joe Biden,2768
Howard,Virgil Goode/James Clymer,8
Howard,Jill Stein/Cheri Honkala,10
Howard,Gary Johnson/James P. Gray,41
Howard,Gloria LaRiva/Stefanie Beacham,3
Howard,James Harris/Alyson Kennedy,0
Howard,Jerry Litzel/Jim Litzel,3
Howard,Write-In,17
Humboldt,Mitt Romney/Paul Ryan,3099
Humboldt,Barack Obama/Joe Biden,1972
Humboldt,Virgil Goode/James Clymer,11
Humboldt,Jill Stein/Cheri Honkala,13
Humboldt,Gary Johnson/James P. Gray,23
Humboldt,Gloria LaRiva/Stefanie Beacham,2
Humboldt,James Harris/Alyson Kennedy,2
Humboldt,Jerry Litzel/Jim Litzel,7
Humboldt,Write-In,29
Ida,Mitt Romney/Paul Ryan,2286
Ida,Barack Obama/Joe Biden,1321
Ida,Virgil Goode/James Clymer,7
Ida,Jill Stein/Cheri Honkala,9
Ida,Gary Johnson/James P. Gray,14
Ida,Gloria LaRiva/Stefanie Beacham,0
Ida,James Harris/Alyson Kennedy,3
Ida,Jerry Litzel/Jim Litzel,2
Ida,Write-In,21
Iowa,Mitt Romney/Paul Ryan,4569
Iowa,Barack Obama/Joe Biden,4144
Iowa,Virgil Goode/James Clymer,28
Iowa,Jill Stein/Cheri Honkala,27
Iowa,Gary Johnson/James P. Gray,52
Iowa,Gloria LaRiva/Stefanie Beacham,3
Iowa,James Harris/Alyson Kennedy,3
Iowa,Jerry Litzel/Jim Litzel,6
Iowa,Write-In,34
Jackson,Mitt Romney/Paul Ryan,4177
Jackson,Barack Obama/Joe Biden,5907
Jackson,Virgil Goode/James Clymer,22
Jackson,Jill Stein/Cheri Honkala,15
Jackson,Gary Johnson/James P. Gray,67
Jackson,Gloria LaRiva/Stefanie Beacham,1
Jackson,James Harris/Alyson Kennedy,1
Jackson,Jerry Litzel/Jim Litzel,3
Jackson,Write-In,49
Jasper,Mitt Romney/Paul Ryan,8877
Jasper,Barack Obama/Joe Biden,10257
Jasper,Virgil Goode/James Clymer,59
Jasper,Jill Stein/Cheri Honkala,42
Jasper,Gary Johnson/James P. Gray,149
Jasper,Gloria LaRiva/Stefanie Beacham,3
Jasper,James Harris/Alyson Kennedy,2
Jasper,Jerry Litzel/Jim Litzel,23
Jasper,Write-In,103
Jefferson,Mitt Romney/Paul Ryan,3436
Jefferson,Barack Obama/Joe Biden,4798
Jefferson,Virgil Goode/James Clymer,12
Jefferson,Jill Stein/Cheri Honkala,59
Jefferson,Gary Johnson/James P. Gray,126
Jefferson,Gloria LaRiva/Stefanie Beacham,3
Jefferson,James Harris/Alyson Kennedy,2
Jefferson,Jerry Litzel/Jim Litzel,3
Jefferson,Write-In,91
Johnson,Mitt Romney/Paul Ryan,23698
Johnson,Barack Obama/Joe Biden,50666
Johnson,Virgil Goode/James Clymer,67
Johnson,Jill Stein/Cheri Honkala,333
Johnson,Gary Johnson/James P. Gray,846
Johnson,Gloria LaRiva/Stefanie Beacham,10
Johnson,James Harris/Alyson Kennedy,11
Johnson,Jerry Litzel/Jim Litzel,26
Johnson,Write-In,320
Jones,Mitt Romney/Paul Ryan,4721
Jones,Barack Obama/Joe Biden,5534
Jones,Virgil Goode/James Clymer,32
Jones,Jill Stein/Cheri Honkala,23
Jones,Gary Johnson/James P. Gray,83
Jones,Gloria LaRiva/Stefanie Beacham,0
Jones,James Harris/Alyson Kennedy,2
Jones,Jerry Litzel/Jim Litzel,5
Jones,Write-In,49
Keokuk,Mitt Romney/Paul Ryan,2843
Keokuk,Barack Obama/Joe Biden,2303
Keokuk,Virgil Goode/James Clymer,17
Keokuk,Jill Stein/Cheri Honkala,21
Keokuk,Gary Johnson/James P. Gray,36
Keokuk,Gloria LaRiva/Stefanie Beacham,3
Keokuk,James Harris/Alyson Kennedy,1
Keokuk,Jerry Litzel/Jim Litzel,7
Keokuk,Write-In,35
Kossuth,Mitt Romney/Paul Ryan,4937
Kossuth,Barack Obama/Joe Biden,3850
Kossuth,Virgil Goode/James Clymer,17
Kossuth,Jill Stein/Cheri Honkala,22
Kossuth,Gary Johnson/James P. Gray,43
Kossuth,Gloria LaRiva/Stefanie Beacham,3
Kossuth,James Harris/Alyson Kennedy,3
Kossuth,Jerry Litzel/Jim Litzel,9
Kossuth,Write-In,39
Lee,Mitt Romney/Paul Ryan,7785
Lee,Barack Obama/Joe Biden,10714
Lee,Virgil Goode/James Clymer,55
Lee,Jill Stein/Cheri Honkala,50
Lee,Gary Johnson/James P. Gray,161
Lee,Gloria LaRiva/Stefanie Beacham,6
Lee,James Harris/Alyson Kennedy,6
Lee,Jerry Litzel/Jim Litzel,18
Lee,Write-In,116
Linn,Mitt Romney/Paul Ryan,47622
Linn,Barack Obama/Joe Biden,68581
Linn,Virgil Goode/James Clymer,148
Linn,Jill Stein/Cheri Honkala,221
Linn,Gary Johnson/James P. Gray,1230
Linn,Gloria LaRiva/Stefanie Beacham,17
Linn,James Harris/Alyson Kennedy,12
Linn,Jerry Litzel/Jim Litzel,46
Linn,Write-In,576
Louisa,Mitt Romney/Paul Ryan,2420
Louisa,Barack Obama/Joe Biden,2452
Louisa,Virgil Goode/James Clymer,21
Louisa,Jill Stein/Cheri Honkala,11
Louisa,Gary Johnson/James P. Gray,20
Louisa,Gloria LaRiva/Stefanie Beacham,0
Louisa,James Harris/Alyson Kennedy,1
Louisa,Jerry Litzel/Jim Litzel,4
Louisa,Write-In,39
Lucas,Mitt Romney/Paul Ryan,2254
Lucas,Barack Obama/Joe Biden,1987
Lucas,Virgil Goode/James Clymer,18
Lucas,Jill Stein/Cheri Honkala,4
Lucas,Gary Johnson/James P. Gray,20
Lucas,Gloria LaRiva/Stefanie Beacham,1
Lucas,James Harris/Alyson Kennedy,1
Lucas,Jerry Litzel/Jim Litzel,4
Lucas,Write-In,34
Lyon,Mitt Romney/Paul Ryan,4978
Lyon,Barack Obama/Joe Biden,1423
Lyon,Virgil Goode/James Clymer,23
Lyon,Jill Stein/Cheri Honkala,14
Lyon,Gary Johnson/James P. Gray,39
Lyon,Gloria LaRiva/Stefanie Beacham,1
Lyon,James Harris/Alyson Kennedy,2
Lyon,Jerry Litzel/Jim Litzel,6
Lyon,Write-In,23
Madison,Mitt Romney/Paul Ryan,4638
Madison,Barack Obama/Joe Biden,3630
Madison,Virgil Goode/James Clymer,29
Madison,Jill Stein/Cheri Honkala,14
Madison,Gary Johnson/James P. Gray,90
Madison,Gloria LaRiva/Stefanie Beacham,0
Madison,James Harris/Alyson Kennedy,3
Madison,Jerry Litzel/Jim Litzel,11
Madison,Write-In,43
Mahaska,Mitt Romney/Paul Ryan,6448
Mahaska,Barack Obama/Joe Biden,4213
Mahaska,Virgil Goode/James Clymer,30
Mahaska,Jill Stein/Cheri Honkala,28
Mahaska,Gary Johnson/James P. Gray,82
Mahaska,Gloria LaRiva/Stefanie Beacham,5
Mahaska,James Harris/Alyson Kennedy,1
Mahaska,Jerry Litzel/Jim Litzel,5
Mahaska,Write-In,71
Marion,Mitt Romney/Paul Ryan,9828
Marion,Barack Obama/Joe Biden,7507
Marion,Virgil Goode/James Clymer,43
Marion,Jill Stein/Cheri Honkala,30
Marion,Gary Johnson/James P. Gray,149
Marion,Gloria LaRiva/Stefanie Beacham,10
Marion,James Harris/Alyson Kennedy,7
Marion,Jerry Litzel/Jim Litzel,9
Marion,Write-In,104
Marshall,Mitt Romney/Paul Ryan,8472
Marshall,Barack Obama/Joe Biden,10257
Marshall,Virgil Goode/James Clymer,56
Marshall,Jill Stein/Cheri Honkala,31
Marshall,Gary Johnson/James P. Gray,116
Marshall,Gloria LaRiva/Stefanie Beacham,6
Marshall,James Harris/Alyson Kennedy,4
Marshall,Jerry Litzel/Jim Litzel,22
Marshall,Write-In,100
Mills,Mitt Romney/Paul Ryan,4216
Mills,Barack Obama/Joe Biden,2848
Mills,Virgil Goode/James Clymer,14
Mills,Jill Stein/Cheri Honkala,19
Mills,Gary Johnson/James P. Gray,68
Mills,Gloria LaRiva/Stefanie Beacham,7
Mills,James Harris/Alyson Kennedy,2
Mills,Jerry Litzel/Jim Litzel,6
Mills,Write-In,32
Mitchell,Mitt Romney/Paul Ryan,2643
Mitchell,Barack Obama/Joe Biden,2831
Mitchell,Virgil Goode/James Clymer,5
Mitchell,Jill Stein/Cheri Honkala,17
Mitchell,Gary Johnson/James P. Gray,40
Mitchell,Gloria LaRiva/Stefanie Beacham,2
Mitchell,James Harris/Alyson Kennedy,2
Mitchell,Jerry Litzel/Jim Litzel,6
Mitchell,Write-In,40
Monona,Mitt Romney/Paul Ryan,2557
Monona,Barack Obama/Joe Biden,2101
Monona,Virgil Goode/James Clymer,9
Monona,Jill Stein/Cheri Honkala,10
Monona,Gary Johnson/James P. Gray,29
Monona,Gloria LaRiva/Stefanie Beacham,3
Monona,James Harris/Alyson Kennedy,1
Monona,Jerry Litzel/Jim Litzel,3
Monona,Write-In,29
Monroe,Mitt Romney/Paul Ryan,2026
Monroe,Barack Obama/Joe Biden,1731
Monroe,Virgil Goode/James Clymer,17
Monroe,Jill Stein/Cheri Honkala,5
Monroe,Gary Johnson/James P. Gray,22
Monroe,Gloria LaRiva/Stefanie Beacham,2
Monroe,James Harris/Alyson Kennedy,2
Monroe,Jerry Litzel/Jim Litzel,4
Monroe,Write-In,21
Montgomery,Mitt Romney/Paul Ryan,3001
Montgomery,Barack Obama/Joe Biden,1922
Montgomery,Virgil Goode/James Clymer,11
Montgomery,Jill Stein/Cheri Honkala,18
Montgomery,Gary Johnson/James P. Gray,42
Montgomery,Gloria LaRiva/Stefanie Beacham,1
Montgomery,James Harris/Alyson Kennedy,2
Montgomery,Jerry Litzel/Jim Litzel,8
Montgomery,Write-In,20
Muscatine,Mitt Romney/Paul Ryan,8168
Muscatine,Barack Obama/Joe Biden,11323
Muscatine,Virgil Goode/James Clymer,42
Muscatine,Jill Stein/Cheri Honkala,48
Muscatine,Gary Johnson/James P. Gray,177
Muscatine,Gloria LaRiva/Stefanie Beacham,3
Muscatine,James Harris/Alyson Kennedy,6
Muscatine,Jerry Litzel/Jim Litzel,11
Muscatine,Write-In,87
O'Brien,Mitt Romney/Paul Ryan,5266
O'Brien,Barack Obama/Joe Biden,1969
O'Brien,Virgil Goode/James Clymer,18
O'Brien,Jill Stein/Cheri Honkala,10
