fips,county,candidate,votes
08087,Morgan,Jill Stein / Cheri Honkala,14
08089,Otero,Jill Stein / Cheri Honkala,15
08091,Ouray,Jill Stein / Cheri Honkala,14
08093,Park,Jill Stein / Cheri Honkala,40
08095,Phillips,Jill Stein / Cheri Honkala,2
08097,Pitkin,Jill Stein / Cheri Honkala,39
08099,Prowers,Jill Stein / Cheri Honkala,10
08101,Pueblo,Jill Stein / Cheri Honkala,189
08103,Rio Blanco,Jill Stein / Cheri Honkala,2
08105,Rio Grande,Jill Stein / Cheri Honkala,17
08107,Routt,Jill Stein / Cheri Honkala,34
08109,Saguache,Jill Stein / Cheri Honkala,18
08111,San Juan,Jill Stein / Cheri Honkala,6
08113,San Miguel,Jill Stein / Cheri Honkala,31
08115,Sedgwick,Jill Stein / Cheri Honkala,2
08117,Summit,Jill Stein / Cheri Honkala,54
08119,Teller,Jill Stein / Cheri Honkala,43
08121,Washington,Jill Stein / Cheri Honkala,1
08123,Weld,Jill Stein / Cheri Honkala,241
08125,Yuma,Jill Stein / Cheri Honkala,5
